b_f_skinner,field,psychology;roberto_refinetti,influencedby,b_f_skinner;roberto_refinetti,field,psychology;
holonym,antonym,meronym;meronym,partof,semantic_network;holonym,partof,semantic_network;
new_fly_industry,atlocation,winnipeg;winnipeg,partof,manitoba;new_fly_industry,atlocation,manitoba;
omar_white_sudani_ramzi,influencedby,sacha_baron_cohen;will_ferrell,influencedby,sacha_baron_cohen;omar_white_sudani_ramzi,influencedby,will_ferrell;
fiddle,usedfor,pluck;fiddle,causes,square_dance;sashay,partof,square_dance;
explosive,atlocation,army;conquer_nation,hasprerequisite,army;explosive,usedfor,blast_tunnel_through_mountain;
begin_fitness_program,motivatedbygoal,get_fit;get_fit,hassubevent,ass;sit_on_chair,hasprerequisite,ass;
meet_girl,motivatedbygoal,you_need_companionship;meet_girl,hassubevent,blush;meet_girl,hasprerequisite,act_cool;
craig_kauffman,field,paint;paint,atlocation,gallery_open;paint,motivatedbygoal,express_your_creativity;
faunal_stage,hasproperty,regional;global,antonym,regional;global,atlocation,broadcast_house;
have_conversation,haslastsubevent,end_conversation;have_conversation,hassubevent,nod_and_smile;have_conversation,causes,talk_with_someone;
salomon_maimon,influencedby,immanuel_kant;hypostasis,hascontext,metaphysics;salomon_maimon,maininterest,metaphysics;
melanesia,partof,austronesia;lala_language,spokenin,new_guinea;new_guinea,atlocation,melanesia;
use_vcr,hasprerequisite,tv;use_vcr,usedfor,save_money_on_entertainment;advance_alot_since_their_invention,partof,tv;
take_oath,hasprerequisite,sincerity;take_oath,motivatedbygoal,person_dont_want_you_to_lie;take_oath,causes,nervousness;
have_pee,hasprerequisite,toilet_usually;have_pee,hasfirstsubevent,i_dont_have_pee_i_take_one;find_restroom,motivatedbygoal,have_pee;
wage_war,hassubevent,victory;wage_war,hasprerequisite,prepare_your_troop;wage_war,usedfor,eliminate_opposition;
test_car,hasprerequisite,push_it_to_limit;test_car,hassubevent,rev_engine;test_car,motivatedbygoal,know_if_it_be_operate_safely;
gerard_de_jode,knownfor,engrave;engrave,atlocation,art_show;anthony_gross,field,engrave;
american,desires,be_protect_by_constitution;american,capableof,vote;american,hasproperty,unsophisticated_gullible_and_bombastic;
sarfaraz_k_niazi,field,pharmaceutical_science;ghazal,influencedby,rafiuddin_raz;sarfaraz_k_niazi,knownfor,ghazal;
conquer_your_opponent,hasprerequisite,fight_long_and_hard;conquer_your_opponent,haslastsubevent,thank_them_for_good_fight;conquer_your_opponent,usedfor,show_your_strength;
exercise,causes,get_big_muscle;play_frisbee,motivatedbygoal,exercise;play_frisbee,hassubevent,you_hurt_your_wrist;
paint,usedfor,add_nice_feel;dominick_elwes,knownfor,paint;claudio_bravo,field,paint;
wait_on_table,haslastsubevent,give_patron_bill;wait_on_table,hassubevent,you_meet_v_i_p;wait_on_table,hasprerequisite,volunteer_at_christmas_dinner;
gertrude_van_wagenen,knownfor,endocrinology;taret_organ,hascontext,endocrinology;m_m_s_ahuja,field,endocrinology;
fritz_zwicky,field,astronomy;astronomy,receivesaction,relate_to_physic;equinoctial_point,hascontext,astronomy;
september,antonym,march;thirty_one_day,partof,march;march,capableof,accompany_music;
buy_beer,causes,quench_your_thirst;glass_of_water,usedfor,quench_your_thirst;buy_beer,hasfirstsubevent,open_it;
nobody,capableof,count_to_infinity;faultful,antonym,perfect;nobody,hasproperty,perfect;
mark_twain,capableof,scape_in_twinklin;hal_holbrook,knownfor,mark_twain;philip_roth,influencedby,mark_twain;
banco_national_park,atlocation,ivory_coast;lomakka_language,spokenin,ivory_coast;eugenia_elisabetta_ravasio,knownfor,ivory_coast;
